time,sm
2023-01-01,0.3332207
2023-01-02,0.33033976
2023-01-03,0.3331501
2023-01-04,0.33438572
2023-01-05,0.33119282
2023-01-06,0.33775392
2023-01-07,0.33420599
2023-01-08,0.3377119
2023-01-09,0.33743376
2023-01-10,0.3352947
2023-01-11,0.33356333
2023-01-12,0.3332376
2023-01-13,0.3338508
2023-01-14,0.33093908
2023-01-15,0.33484793
2023-01-16,0.3308257
2023-01-17,0.33417755
2023-01-18,0.33396262
2023-01-19,0.33368692
2023-01-20,0.3374591
2023-01-21,0.33697325
2023-01-22,0.33919168
2023-01-23,0.3381137
2023-01-24,0.3399831
2023-01-25,0.33942974
2023-01-26,0.34035653
2023-01-27,0.34172747
2023-01-28,0.34042516
2023-01-29,0.34205437
2023-01-30,0.3398831
2023-01-31,0.34339213
2023-02-01,0.33920825
2023-02-02,0.3399834
2023-02-03,0.3400248
2023-02-04,0.33712724
2023-02-05,0.3383794
2023-02-06,0.33580333
2023-02-07,0.3369785
2023-02-08,0.33466327
2023-02-09,0.33469236
2023-02-10,0.33240888
2023-02-11,0.33623773
2023-02-12,0.33570847
2023-02-13,0.3377356
2023-02-14,0.33776495
2023-02-15,0.3359047
2023-02-16,0.33707812
2023-02-17,0.3349441
2023-02-18,0.33503312
2023-02-19,0.3354103
2023-02-20,0.3354197
2023-02-21,0.33734235
2023-02-22,0.33730158
2023-02-23,0.33922058
2023-02-24,0.33775076
2023-02-25,0.33765256
2023-02-26,0.3355554
2023-02-27,0.3397231
2023-02-28,0.33866113
2023-03-01,0.34026584
2023-03-02,0.3437966
2023-03-03,0.34014845
2023-03-04,0.3411058
2023-03-05,0.3402194
2023-03-06,0.33966792
2023-03-07,0.33782536
2023-03-08,0.33548024
2023-03-09,0.3357336
2023-03-10,0.33779067
2023-03-11,0.33736262
2023-03-12,0.33634272
2023-03-13,0.33674648
2023-03-14,0.3342776
2023-03-15,0.33550665
2023-03-16,0.33625638
2023-03-17,0.33275518
